1,2024-01-01,Customer_52,West,Product_29,Books,3,1195.0,3585
2,2024-01-01,Customer_61,North,Product_21,Sports,2,566.0,1132
3,2024-01-01,Customer_87,South,Product_11,Books,3,187.0,561
4,2024-01-01,Customer_100,West,Product_40,Sports,3,1785.0,5355
5,2024-01-01,Customer_53,North,Product_2,Electronics,4,1537.0,6148
6,2024-01-01,Customer_38,West,Product_2,Electronics,4,376.0,1504
7,2024-01-01,Customer_33,North,Product_12,Electronics,2,121.0,242
8,2024-01-01,Customer_89,South,Product_49,Books,3,1182.0,3546
9,2024-01-01,Customer_42,East,Product_28,Clothing,4,1075.0,4300
10,2024-01-01,Customer_15,West,Product_47,Books,3,1999.0,5997
11,2024-01-01,Customer_55,South,Product_3,Sports,5,1942.0,9710
12,2024-01-01,Customer_7,West,Product_21,Sports,1,266.0,266
13,2024-01-01,Customer_18,East,Product_4,Electronics,1,415.0,415
14,2024-01-01,Customer_14,East,Product_50,Books,2,876.0,1752
15,2024-01-01,Customer_90,West,Product_2,Electronics,4,191.0,764
16,2024-01-01,Customer_60,South,Product_7,Clothing,4,608.0,2432
17,2024-01-01,Customer_8,East,Product_47,Books,3,305.0,915
18,2024-01-01,Customer_81,South,Product_36,Books,2,1995.0,3990
19,2024-01-01,Customer_4,South,Product_2,Electronics,2,1895.0,3790
20,2024-01-01,Customer_54,West,Product_29,Books,2,829.0,1658
21,2024-01-01,Customer_44,North,Product_34,Electronics,2,1095.0,2190
22,2024-01-01,Customer_14,East,Product_31,Electronics,4,1116.0,4464
23,2024-01-01,Customer_62,East,Product_40,Sports,5,819.0,4095
24,2024-01-01,Customer_82,South,Product_47,Books,5,891.0,4455
25,2024-01-01,Customer_26,West,Product_25,Sports,4,287.0,1148
26,2024-01-01,Customer_41,South,Product_29,Books,5,164.0,820
27,2024-01-02,Customer_9,East,Product_24,Sports,1,747.0,747
28,2024-01-02,Customer_88,West,Product_11,Books,3,692.0,2076
29,2024-01-02,Customer_8,East,Product_35,Clothing,3,388.0,1164
30,2024-01-02,Customer_5,South,Product_42,Sports,2,140.0,280
31,2024-01-02,Customer_28,West,Product_7,Clothing,1,1963.0,1963
32,2024-01-02,Customer_12,North,Product_34,Electronics,1,1171.0,1171
33,2024-01-02,Customer_23,South,Product_24,Sports,5,198.0,990
34,2024-01-02,Customer_44,North,Product_40,Sports,3,1670.0,5010
35,2024-01-02,Customer_65,South,Product_35,Clothing,5,1585.0,7925
36,2024-01-02,Customer_3,West,Product_1,Sports,5,1341.0,6705
37,2024-01-02,Customer_14,East,Product_39,Sports,3,492.0,1476
38,2024-01-02,Customer_79,East,Product_15,Electronics,2,1677.0,3354
39,2024-01-02,Customer_77,East,Product_32,Electronics,1,663.0,663
40,2024-01-02,Customer_96,South,Product_4,Electronics,5,1530.0,7650
41,2024-01-02,Customer_15,West,Product_43,Books,5,1159.0,5795
42,2024-01-02,Customer_13,South,Product_32,Electronics,3,1366.0,4098
43,2024-01-02,Customer_86,West,Product_28,Clothing,2,781.0,1562
44,2024-01-02,Customer_45,North,Product_6,Sports,4,1151.0,4604
45,2024-01-02,Customer_44,North,Product_20,Electronics,3,1763.0,5289
46,2024-01-02,Customer_92,East,Product_25,Sports,1,1508.0,1508
47,2024-01-02,Customer_27,East,Product_13,Books,1,1382.0,1382
48,2024-01-02,Customer_70,South,Product_8,Books,3,748.0,2244
49,2024-01-02,Customer_62,East,Product_37,Clothing,1,1942.0,1942
50,2024-01-02,Customer_44,North,Product_24,Sports,3,1497.0,4491
51,2024-01-02,Customer_32,South,Product_32,Electronics,1,1815.0,1815
52,2024-01-02,Customer_62,East,Product_49,Books,2,663.0,1326
53,2024-01-03,Customer_39,East,Product_2,Electronics,3,1236.0,3708
54,2024-01-03,Customer_56,North,Product_17,Electronics,3,212.0,636
55,2024-01-03,Customer_2,West,Product_2,Electronics,4,1689.0,6756
56,2024-01-03,Customer_87,South,Product_37,Clothing,1,484.0,484
